;datahora;casos_acum;obitos_acum
198;2020-09-11;882809;32338
199;2020-09-12;890690;32567
200;2020-09-13;892257;32606
201;2020-09-14;893349;32642
202;2020-09-15;901271;32963
203;2020-09-16;909428;33253
204;2020-09-17;916821;33472
205;2020-09-18;924532;33678
206;2020-09-19;931673;33927
207;2020-09-20;935300;33952
208;2020-09-21;937332;33984
209;2020-09-22;945422;34266
210;2020-09-23;951973;34492
211;2020-09-24;958240;34677
212;2020-09-25;964921;34877
213;2020-09-26;970888;35063
214;2020-09-27;972237;35108
215;2020-09-28;973142;35125
216;2020-09-29;979519;35391
217;2020-09-30;985628;35622
218;2020-10-01;991725;35804
219;2020-10-02;997333;35956
220;2020-10-03;1003429;36136
221;2020-10-04;1003902;36178
222;2020-10-05;1004579;36220
223;2020-10-06;1010839;36490
224;2020-10-07;1016755;36669
225;2020-10-08;1022404;36884
226;2020-10-09;1028190;37068
227;2020-10-10;1034816;37223
228;2020-10-11;1037660;37256
229;2020-10-12;1038344;37279
230;2020-10-13;1039029;37314
231;2020-10-14;1045060;37541
232;2020-10-15;1051613;37690
233;2020-10-16;1057240;37870
234;2020-10-17;1062634;37992
235;2020-10-18;1063602;38020
236;2020-10-19;1064039;38035
237;2020-10-20;1068962;38246
238;2020-10-21;1073261;38371
239;2020-10-22;1076939;38482
240;2020-10-23;1083641;38608
241;2020-10-24;1089255;38726
242;2020-10-25;1091980;38747
243;2020-10-26;1092843;38753
244;2020-10-27;1098207;38885
245;2020-10-28;1103582;39007
246;2020-10-29;1108860;39119
247;2020-10-30;1113788;39255
248;2020-10-31;1116127;39311
249;2020-11-01;1117147;39331
250;2020-11-02;1117795;39346
251;2020-11-03;1118544;39364
252;2020-11-04;1123299;39549
253;2020-11-05;1125936;39717
254;2020-11-06;1125936;39717
255;2020-11-07;1125936;39717
256;2020-11-08;1125936;39717
257;2020-11-09;1125936;39717
258;2020-11-10;1147451;39717
259;2020-11-11;1150872;39907
260;2020-11-12;1156652;40202
261;2020-11-13;1162782;40202
262;2020-11-14;1167422;40549
263;2020-11-15;1168640;40564
264;2020-11-16;1169377;40576
265;2020-11-17;1178075;40749
266;2020-11-18;1184496;40927
267;2020-11-19;1191290;41074
268;2020-11-20;1200348;41179
269;2020-11-21;1205435;41256
270;2020-11-22;1209588;41267
271;2020-11-23;1210625;41276
272;2020-11-24;1215844;41455
273;2020-11-25;1224744;41601
274;2020-11-26;1229267;41773
275;2020-11-27;1233587;41902
276;2020-11-28;1238094;42048
277;2020-11-29;1240473;42076
278;2020-11-30;1241653;42095
279;2020-12-01;1250590;42290
280;2020-12-02;1259704;42456
281;2020-12-03;1267912;42637
282;2020-12-04;1276149;42788
283;2020-12-05;1285087;42969
284;2020-12-06;1287762;43015
285;2020-12-07;1288878;43040
286;2020-12-08;1296801;43282
287;2020-12-09;1306585;43461
288;2020-12-10;1316371;43661
289;2020-12-11;1325162;43802
290;2020-12-12;1333763;43971
291;2020-12-13;1334703;44018
292;2020-12-14;1337016;44050
293;2020-12-15;1341428;44282
294;2020-12-16;1341428;44282
295;2020-12-17;1361731;44681
296;2020-12-18;1371653;44878
297;2020-12-19;1384100;45029
298;2020-12-20;1384100;45029
299;2020-12-21;1388043;45136
300;2020-12-22;1398757;45395
301;2020-12-23;1409140;45576
302;2020-12-24;1418491;45758
303;2020-12-25;1422087;45795
304;2020-12-26;1423340;45808
305;2020-12-27;1426176;45863
306;2020-12-28;1427752;45902
307;2020-12-29;1440229;46195
308;2020-12-30;1452078;46477
309;2020-12-31;1462297;46717
310;2021-01-01;1466191;46775
311;2021-01-02;1467953;46808
312;2021-01-03;1471422;46845
313;2021-01-04;1473670;46888
314;2021-01-05;1486551;47222
315;2021-01-06;1501085;47511
316;2021-01-07;1515158;47768
317;2021-01-08;1528952;48029
318;2021-01-09;1540513;48298
319;2021-01-10;1546132;48351
320;2021-01-11;1549142;48379
321;2021-01-12;1561844;48662
322;2021-01-13;1577119;48985
323;2021-01-14;1590829;49289
324;2021-01-15;1605845;49600
325;2021-01-16;1619619;49885
326;2021-01-17;1625339;49945
327;2021-01-18;1628272;49987
328;2021-01-19;1644225;50318
329;2021-01-20;1658636;50652
330;2021-01-21;1670754;50938
331;2021-01-22;1679759;51192
332;2021-01-23;1694355;51423
333;2021-01-24;1699427;51502
334;2021-01-25;1702294;51556
335;2021-01-26;1715253;51838
336;2021-01-27;1731294;52170
337;2021-01-28;1746070;52481
338;2021-01-29;1759957;52722
339;2021-01-30;1773024;52954
340;2021-01-31;1777368;53034
341;2021-02-01;1779722;53090
342;2021-02-02;1794019;53455
343;2021-02-03;1807009;53704
344;2021-02-04;1820941;53997
345;2021-02-05;1833163;54324
346;2021-02-06;1845086;54545
347;2021-02-07;1849334;54614
348;2021-02-08;1851776;54663
349;2021-02-09;1864977;55087
350;2021-02-10;1878802;55419
351;2021-02-11;1889969;55742
352;2021-02-12;1901574;55971
353;2021-02-13;1911411;56191
354;2021-02-14;1913598;56266
355;2021-02-15;1915914;56304
356;2021-02-16;1927410;56702
357;2021-02-17;1938712;56960
358;2021-02-18;1949459;57240
359;2021-02-19;1960564;57499
360;2021-02-20;1971423;57743
361;2021-02-21;1975927;57799
362;2021-02-22;1978477;57842
363;2021-02-23;1990554;58199
364;2021-02-24;2002640;58528
365;2021-02-25;2014529;58873
366;2021-02-26;2026125;59129
367;2021-02-27;2037267;59428
368;2021-02-28;2041628;59493
369;2021-03-01;2044699;59546
370;2021-03-02;2054867;60014
371;2021-03-03;2068616;60381
372;2021-03-04;2080852;60694
373;2021-03-05;2093924;61064
374;2021-03-06;2107687;61417
375;2021-03-07;2113738;61463
376;2021-03-08;2117962;61584
377;2021-03-09;2134020;62101
378;2021-03-10;2149561;62570
379;2021-03-11;2164066;63010
380;2021-03-12;2179786;63531
381;2021-03-13;2195130;63965
382;2021-03-14;2202983;64123
383;2021-03-15;2208242;64223
384;2021-03-16;2225926;64902
385;2021-03-17;2243868;65519
386;2021-03-18;2261360;66178
387;2021-03-19;2280033;66798
388;2021-03-20;2298061;67414
389;2021-03-21;2306326;67558
390;2021-03-22;2311101;67602
391;2021-03-23;2332043;68623
392;2021-03-24;2352438;68904
393;2021-03-25;2370885;69503
394;2021-03-26;2392374;70696
395;2021-03-27;2410498;71747
396;2021-03-28;2420100;71991
397;2021-03-29;2425320;72283
398;2021-03-30;2446680;73492
399;2021-03-31;2469849;74652
400;2021-04-01;2496416;75734
401;2021-04-02;2513178;76552
402;2021-04-03;2520204;76750
403;2021-04-04;2527400;77020
404;2021-04-05;2532047;77165
405;2021-04-06;2554841;78554
406;2021-04-07;2576362;79443
407;2021-04-08;2597366;80742
408;2021-04-09;2618067;81750
409;2021-04-10;2635378;82407
410;2021-04-11;2643534;82917
411;2021-04-12;2648844;83098
412;2021-04-13;2667241;84380
413;2021-04-14;2686031;85475
414;2021-04-15;2704098;86535
415;2021-04-16;2722077;87326
416;2021-04-17;2739823;88097
417;2021-04-18;2746217;88350
418;2021-04-19;2750300;88528
419;2021-04-20;2769360;89650
420;2021-04-21;2786483;90627
421;2021-04-22;2793750;90810
422;2021-04-23;2811562;91673
423;2021-04-24;2827833;92548
424;2021-04-25;2834321;92693
425;2021-04-26;2838233;92798
426;2021-04-27;2856225;93842
427;2021-04-28;2873238;94656
428;2021-04-29;2888158;95532
429;2021-04-30;2903709;96191
430;2021-05-01;2918044;96941
431;2021-05-02;2923367;97058
432;2021-05-03;2926516;97172
433;2021-05-04;2941980;98021
434;2021-05-05;2956210;98710
435;2021-05-06;2969680;99406
436;2021-05-07;2984182;99989
437;2021-05-08;2997282;100649
438;2021-05-09;3003067;100799
439;2021-05-10;3006250;100854
440;2021-05-11;3022568;101660
441;2021-05-12;3038240;102356
442;2021-05-13;3053889;102934
443;2021-05-14;3069804;103493
444;2021-05-15;3085290;103995
445;2021-05-16;3092844;104219
446;2021-05-17;3096845;104295
447;2021-05-18;3112624;105105
448;2021-05-19;3129412;105852
449;2021-05-20;3147348;106437
450;2021-05-21;3163859;107017
451;2021-05-22;3180595;107497
452;2021-05-23;3188105;107614
453;2021-05-24;3192727;107677
454;2021-05-25;3210204;108575
455;2021-05-26;3226875;109241
456;2021-05-27;3239657;109850
457;2021-05-28;3241240;110553
458;2021-05-29;3254893;111123
459;2021-05-30;3265930;111304
460;2021-05-31;3272043;111374
461;2021-06-01;3291509;112210
462;2021-06-02;3314631;112927
463;2021-06-03;3334364;113441
464;2021-06-04;3338262;113474
465;2021-06-05;3355201;114192
466;2021-06-06;3365160;114404
467;2021-06-07;3370234;114542
468;2021-06-08;3378256;115309
469;2021-06-09;3382448;115960
470;2021-06-10;3405481;116693
471;2021-06-11;3428356;117344
472;2021-06-12;3449577;117887
473;2021-06-13;3458849;118121
474;2021-06-14;3464158;118213
475;2021-06-15;3487385;119110
476;2021-06-16;3509967;119905
477;2021-06-17;3525021;120524
478;2021-06-18;3552727;121238
479;2021-06-19;3573210;121960
480;2021-06-20;3582792;122160
481;2021-06-21;3587646;122258
482;2021-06-22;3610743;123101
483;2021-06-23;3630251;123825
484;2021-06-24;3648202;124606
485;2021-06-25;3669196;125378
486;2021-06-26;3688128;125916
487;2021-06-27;3696093;126050
488;2021-06-28;3700378;126112
489;2021-06-29;3719586;126937
490;2021-06-30;3727348;127681
491;2021-07-01;3743291;128322
492;2021-07-02;3762758;128921
493;2021-07-03;3779408;129453
494;2021-07-04;3785859;129609
495;2021-07-05;3790090;129675
496;2021-07-06;3809222;130389
497;2021-07-07;3824111;130935
498;2021-07-08;3838564;131478
499;2021-07-09;3853276;131960
500;2021-07-10;3860960;132065
501;2021-07-11;3866178;132140
502;2021-07-12;3869300;132205
503;2021-07-13;3879846;132845
504;2021-07-14;3896083;133364
505;2021-07-15;3908279;133901
506;2021-07-16;3919754;134320
507;2021-07-17;3936849;134768
508;2021-07-18;3939632;134803
509;2021-07-19;3942776;134900
510;2021-07-20;3947574;135490
511;2021-07-21;3966009;135973
512;2021-07-22;3979102;136466
513;2021-07-23;3991188;136884
514;2021-07-24;3997084;137211
515;2021-07-25;4001078;137236
516;2021-07-26;4003549;137273
517;2021-07-27;4015426;137740
518;2021-07-28;4027062;138101
519;2021-07-29;4038375;138436
520;2021-07-30;4048478;138702
